character,x,y,meaning,pinying
匠,33.90602869,22.88948307,craftsman,jiang4
匪,33.60758721,23.45334981,bandit,fei3
匹,34.74356799,23.06960271,variant of 匹[pi3],pi3
区,36.09583277,22.38153061,area,qu1
医,36.67654778,23.25415855,medical,yi1
十,-28.6653921,15.18829644,ten,shi2
千,-28.18496081,3.723033381,a swing,qian1
升,28.01276692,45.88027727,variant of 升[sheng1],sheng1
午,-21.83391277,18.92535589,"7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse",wu3
半,-30.24817853,15.59441036,half,ban4
华,-26.99271215,10.92243014,magnificent,hua2
协,13.78627436,-48.93665081,to cooperate,xie2
卑,-60.54334605,-15.133959,low,bei1
卓,-69.30253472,19.13585317,outstanding,zhuo2
单,-68.93288626,18.3970964,bill,dan1
卖,-78.19632419,-12.32274345,to sell,mai4
南,-67.88580781,-12.32515409,south,nan2
博,-55.88811676,-73.74480904,old variant of 博[bo2],bo2
卜,-4.368914077,6.914514867,see 蘿蔔|萝卜[luo2 bo5],bo5
占,-13.96905016,18.67522736,to take possession of,zhan4
卡,-1.947590901,14.47262008,to block,qia3
卢,-54.22651174,-16.28405672,(old) rice vessel,lu2
卧,20.29448518,62.52788346,to lie,wo4
卫,37.80972111,18.13930315,to guard,wei4
印,69.04230487,19.8366349,to print,yin4
危,-55.61851664,-31.61621106,danger,wei1
即,68.29351794,45.35364524,namely,ji2
却,69.50474969,16.60501724,but,que4
卵,68.28013061,45.36898613,egg,luan3
卷,-72.47059767,20.87980538,to roll (up),juan3
卸,19.13655332,27.7176274,to unload,xie4
卿,54.95718165,81.60598698,high ranking official (old),qing1
厂,42.46060543,2.284966414,factory,chang3
厅,43.4205805,2.687931249,(reception) hall,ting1
历,36.63545482,26.56892316,to experience,li4
厉,57.68452985,22.02978376,strict,li4
压,37.7448866,21.57641293,see 壓根兒|压根儿[ya4 gen1 r5],ya4
厌,41.03257251,2.887655706,to loathe,yan4
厕,65.52308845,42.32406506,see 茅廁|茅厕[mao2 si5],si4
厚,-30.02247928,44.20650675,thick,hou4
原,48.38867625,23.21390278,former,yuan2
厢,79.62226806,39.96344568,box (in theater),xiang1
厦,-28.56107284,82.93563273,tall building,sha4
厨,21.75066941,34.46415692,kitchen,chu2
去,-12.69197475,17.62112231,to go,qu4
县,-37.39661089,46.98065258,county,xian4
参,-7.795334503,26.74816043,variant of 參|参[shen1],shen1
又,47.85283152,6.369099535,(once) again,you4
叉,48.0392237,6.392384146,to diverge,cha3
及,51.42933568,14.03183294,and,ji2
友,-3.393353727,16.652053,friend,you3
双,52.09264899,14.79730657,two,shuang1
反,41.62736766,-1.555115374,contrary,fan3
发,-51.89536454,36.99281423,hair,fa4
叔,0.76154331,38.50270157,uncle,shu1
取,-4.455599692,34.89201975,to take,qu3
受,20.90740402,14.3942671,to receive,shou4
变,-80.05488969,-4.737380085,to change,bian4
叙,0.812553679,38.52718117,to narrate,xu4
叛,53.94640706,-48.20175675,to betray,pan4
叠,-28.76495792,78.5225899,to fold,die2
